dataset,n_subsets,auc_pred,auc_att,seed
logic7,77,0.97814,0.7554932253163184,1
logic7,77,0.97393,0.8946328222613958,2
logic7,77,0.97625,0.8674136906518254,3
logic7,77,0.97523,0.9241871567197634,4
logic7,77,0.97499,0.9016273240058728,5
logic7,77,0.97412,0.9123126649477844,6
logic7,77,0.97591,0.8431418339596738,7
logic7,77,0.97509,0.9160974267442469,8
logic7,77,0.97213,0.9304836805707961,9
logic8,1,0.9927,0.9552179016799072,0
logic8,1,0.98821,0.9237630507697837,1
logic8,1,0.98879,0.9397495214317254,2
logic8,1,0.98853,0.9347996792106124,3
logic8,1,0.98826,0.9318913531786872,4
logic8,1,0.99092,0.9332041532547002,5
logic8,1,0.98973,0.9530756521849644,6
logic8,1,0.99233,0.9482787969587704,7
logic8,1,0.98855,0.9020744330218264,8
logic8,1,0.98718,0.9263941881910707,9
logic8,2,0.98977,0.9503004080133503,0
logic8,2,0.98863,0.9528213558955971,1
logic8,2,0.99092,0.943067383639324,2
logic8,2,0.99013,0.9106618073083056,3
logic8,2,0.9909,0.9422136941722042,4
logic8,2,0.99325,0.952018713881796,5
logic8,2,0.99182,0.9280830790610627,6
logic8,2,0.98843,0.9499139562437916,7
logic8,2,0.99171,0.9546491136815538,8
logic8,2,0.98686,0.9555603821784883,9
logic8,4,0.99188,0.9498475807905072,0
logic8,4,0.9883,0.9297965769171436,1
logic8,4,0.98837,0.958912570482951,2
logic8,4,0.99087,0.952645282187753,3
logic8,4,0.99106,0.9557450750334296,4
logic8,4,0.99012,0.9256417733144392,5
logic8,4,0.99226,0.9296759393147365,6
logic8,4,0.98709,0.9520849477159368,7
logic8,4,0.98972,0.9381156387616365,8
logic8,4,0.99174,0.9606798626923947,9
logic8,8,0.98713,0.9526859562325072,0
logic8,8,0.98807,0.9527187503473667,1
logic8,8,0.99134,0.9486553519886003,2
logic8,8,0.98951,0.9350315183702057,3
logic8,8,0.98997,0.9489710699712752,4
logic8,8,0.98811,0.9550615697207426,5
logic8,8,0.98905,0.935772892549723,6
logic8,8,0.98447,0.9361445519536976,7
logic8,8,0.98937,0.9529510460273641,8
logic8,8,0.98684,0.9458898149216751,9
logic8,16,0.99003,0.9517166540172116,0
logic8,16,0.99067,0.9593612695156019,1
logic8,16,0.9927,0.9433757102286735,2
logic8,16,0.99027,0.9679744053859266,3
logic8,16,0.98896,0.9618525572388752,4
