dataset,model,method,AUROC mean,AUROC std,ATT AUROC mean,ATT AUROC std
benzene,mpnn,GradCAM-last,1.0,0.0,0.7389099900299583,0.0628161841571185
benzene,mpnn,GradCAM-all,1.0,0.0,0.70841941248789,0.05332132306163507
benzene,mpnn,SmoothGrad(GradInput),1.0,0.0,0.5393906931641516,0.05403215955572115
benzene,mpnn,IG,1.0,0.0,0.8546103337357283,0.14620294622227936
benzene,mpnn,Random,0.7727561060894393,0.06732977849122149,0.6141064587212893,0.0014541284916918238
benzene,mpnn,AttWeights,,,,
benzene,gat,CAM,1.0,0.0,0.9856728888039968,0.012300642608190488
benzene,gat,GradInput,1.0,0.0,0.5660422850849576,0.08907526841899448
benzene,gat,GradCAM-last,1.0,0.0,0.6401488598045113,0.06933691061887777
benzene,gat,GradCAM-all,1.0,0.0,0.6105266576046614,0.076297759137013
benzene,gat,SmoothGrad(GradInput),1.0,0.0,0.5542766496424192,0.10537182209357418
benzene,gat,IG,1.0,0.0,0.9126335064859811,0.07090134990081008
benzene,gat,Random,1.0,0.0,0.612821575540212,0.0027052284450937145
benzene,gat,AttWeights,1.0,0.0,0.5046933182103867,0.011252135772842505
